              KL   OU   YS   CD   ID   AC   OI   MJ   AA   DY   RH   BO   KW   DT   DI   TO
 KL(21) ->     0    6    8    7    7    2    5    5    4   10    9    8    5    3    8    8
 OU( 8) ->     6    0    8    7    6    4    4    4    2    4    3    7    5    9    2    2
 YS(22) ->     8    8    0    3   10    6    8    5    6   12   11    8    3   11   10   10
 CD(25) ->     7    7    3    0    9    5    7    4    5   11   10    7    2   10    9    9
 ID(11) ->     7    6   10    9    0    5    2    5    4   10    9    3    7   10    8    8
 AC( 4) ->     2    4    6    5    5    0    3    3    2    8    7    6    3    5    6    6
 OI(10) ->     5    4    8    7    2    3    0    3    2    8    7    3    5    8    6    6
 MJ( 3) ->     5    4    5    4    5    3    3    0    2    8    7    3    2    8    6    6
 AA( 0) ->     4    2    6    5    4    2    2    2    0    6    5    5    3    7    4    4
 DY(23) ->    10    4   12   11   10    8    8    8    6    0    4   11    9   13    2    3
 RH(15) ->     9    3   11   10    9    7    7    7    5    4    0   10    8   12    2    3
 BO(18) ->     8    7    8    7    3    6    3    3    5   11   10    0    5   11    9    9
 KW( 6) ->     5    5    3    2    7    3    5    2    3    9    8    5    0    8    7    7
 DT(24) ->     3    9   11   10   10    5    8    8    7   13   12   11    8    0   11   11
 DI(13) ->     8    2   10    9    8    6    6    6    4    2    2    9    7   11    0    3
 TO(19) ->     8    2   10    9    8    6    6    6    4    3    3    9    7   11    3    0
